Status Effective,Account Holder,Quantity of Credits,Retirement Reason,Retirement Reason Details,Credit Serial Numbers,Vintage,Date Issued (GMT),Verified Removal,CORSIA Eligible,ARB Eligible,Sustainable Development Goal(s),Project ID,Project Name,Project Site Country,Project Site Location,Project Site State,Project Type,Project Methodology/Protocol,Methodology/Protocol Version
7/17/2023,Green Story Inc,156,Other,Retired on behalf of Swannies to offset the carbon footprint of their products sales for April 2023,ACR-US-386-2019-1243-19644 to 19799,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,8,Other,"Retired on behalf of Green Story Inc's and SimpliZero clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for April 2023.",ACR-US-386-2019-1243-19636 to 19643,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,3,Other,"Retired on behalf of Green Story Inc's and SimpliZero clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for March 2023.",ACR-US-386-2019-1243-19633 to 19635,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,4,Other,"Retired on behalf of Green Story Inc's and SimpliZero clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for Feb 2023.",ACR-US-386-2019-1243-19629 to 19632,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,13,Other,"Retired on behalf of Green Story Inc's and SimpliZero clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for Dec 2022 and Jan 2023 combined.",ACR-US-386-2019-1243-19616 to 19628,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,3,Other,Retired on behalf of JJ Winks to offset the carbon footprint of their products sales for June 2023,ACR-US-386-2019-1243-19521 to 19523,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,59,Other,Retired on behalf of PACT Apparel to offset the carbon footprint of their products sales for June 2023.,ACR-US-386-2019-1243-22610 to 22668,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/14/2023,"Tradewater, LLC",30,Environmental Benefit,Climate Heroes - 23.07.14,ACR-US-597-2021-1894-1981 to 2010,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/14/2023,Green Story Inc,30,Other,Retired on behalf of Swannies to offset the carbon footprint of their products sales for June 2023.,ACR-US-386-2019-1243-19586 to 19615,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/14/2023,CHOOOSE AS,876,On Behalf of Third Party,Retired on behalf of Penske,ACR-US-114-2013-385-381504 to 382379,2013,5/1/2015 23:46,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/14/2023,"1st Climate Solutions DBA Brian R. Anderson, Inc.",1509,On Behalf of Third Party,On behalf of Patch's customers and/ or their End Users,ACR-US-529-2017-1251-13 to 1521,2017,5/3/2021 22:35,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Advanced Refrigeration CAN - ARS 002C,US,"O'Fallon, MO",MISSOURI,Industrial Process Emissions,Advanced Refrigeration Systems,Version 2.0
7/14/2023,"1st Climate Solutions DBA Brian R. Anderson, Inc.",67,On Behalf of Third Party,On behalf of Patch's customers and/ or their End Users,ACR-US-765-2021-1710-171842 to 171908,2021,12/13/2022 13:09,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Foam Blowing Agent Project 002G,US,Rockford,MINNESOTA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 3.0
7/14/2023,"1st Climate Solutions DBA Brian R. Anderson, Inc.",2296,On Behalf of Third Party,On behalf of Patch's customers and/ or their End Users,ACR-US-568-2019-1501-23021 to 25316,2019,4/29/2022 21:21,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Spray Foam Omega 2,US,"Arlington, Texas and Boisbriand, Quebec",TEXAS,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 3.0
7/13/2023,487,79767,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-120-2006-134-205355679 to 205435445,2006,8/6/2008,,No,No,,ACR102,Petrosource Geo-Seq,US,Crocket County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,297904,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2006-301-193812702 to 194110605,2006,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,134894,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2004-298-143862842 to 143997735,2004,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,144831,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2008-139-209933374 to 210078204,2008,12/31/2008,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,125506,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2007-138-209442868 to 209568373,2007,12/31/2008,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,49481,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2005-131-144535467 to 144584947,2005,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,28181,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-120-2007-135-206331680 to 206359860,2007,8/6/2008,,No,No,,ACR102,Petrosource Geo-Seq,US,Crocket County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,235321,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-120-2003-129-132900433 to 133135753,2003,3/13/2006,,No,No,,ACR102,Petrosource Geo-Seq,US,Crocket County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,38633,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2007-137-202100760 to 202139392,2007,12/31/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,33802,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2004-298-143760968 to 143794769,2004,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,15762,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2004-298-143794770 to 143810531,2004,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,13617,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2004-298-143838342 to 143851958,2004,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,6093,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2006-300-193806609 to 193812701,2006,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,7616,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2004-297-143573837 to 143581452,2004,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,12,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-121-2004-297-143573825 to 143573836,2004,1/30/2007,,No,No,,ACR102,Pike's Peak Geo-Seq,US,Pecos County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,134,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-120-2006-133-193520032 to 193520165,2006,1/30/2007,,No,No,,ACR102,Petrosource Geo-Seq,US,Crocket County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,9462,Environmental Benefit,"1,742,521",ACR-US-120-2003-129-132890971 to 132900432,2003,3/13/2006,,No,No,,ACR102,Petrosource Geo-Seq,US,Crocket County,TEXAS,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,487,250371,Environmental Benefit,"Retired on behalf of Diamondback Energy, Inc.",ACR-US-117-2000-119-133718348 to 133968718,2000,3/13/2006,,No,No,,ACR102,Merit Energy Geo-Seq,US,LaBarge,WYOMING,Carbon Capture & Storage (CCS),Emission Reductions from Enhanced Oil Recovery,Version 1.0
7/13/2023,"Tradewater, LLC",61,Environmental Benefit,Climate Heroes - 23.07.13,ACR-US-597-2021-1894-1920 to 1980,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/13/2023,South Pole USA Inc.,300,Environmental Benefit,,ACR-US-596-2020-1513-5065 to 5364,2020,5/4/2022 22:42,,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Boone Forestry Project,US,SE Kentucky,KENTUCKY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/12/2023,South Pole USA Inc.,1844,Environmental Benefit,"Retired on behalf of World Wildlife Fund, Inc. for 1844 tonnes of Boone IFM.",ACR-US-596-2020-1513-3221 to 5064,2020,5/4/2022 22:42,,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Boone Forestry Project,US,SE Kentucky,KENTUCKY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/12/2023,Green Story Inc,53,Other,Retired on behalf of PACT Apparel to offset the carbon footprint of their products sales for May 2023.,ACR-US-386-2019-1243-22557 to 22609,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/12/2023,Green Story Inc,100,Other,Retired on behalf of PACT Apparel to offset the carbon footprint of their products sales for May 2023.,ACR-US-386-2019-1243-24169 to 24268,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/12/2023,Green Story Inc,10,Other,Retired on behalf of PACT Apparel to offset the carbon footprint of their products sales footprint for May 2023.,ACR-US-386-2019-1243-21362 to 21371,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/12/2023,"Tradewater, LLC",20,Environmental Benefit,Climate Heroes - 23.07.12,ACR-US-597-2021-1894-1900 to 1919,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/12/2023,Green Story Inc,234,Other,Retired on behalf of PACT Apparel to offset the carbon footprint of their products sales footprint for Apr 2023.,ACR-US-386-2019-1243-23935 to 24168,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/11/2023,"Climate Impact Partners, LLC",264,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Workhuman (Globoforce Limited),ACR-US-114-2017-735-233638 to 233901,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/11/2023,"Climate Impact Partners, LLC",103,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Workhuman (Globoforce Limited),ACR-US-114-2017-735-227515 to 227617,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/11/2023,"Climate Impact Partners, LLC",2174,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Taos Ski Valley Inc.,ACR-US-622-2020-1264-151982 to 154155,2020,5/21/2021 16:52,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Foam Blowing Agent Project 003F,US,Winchester,VIRGINIA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
7/11/2023,"Climate Impact Partners, LLC",112,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of ScottMadden Inc,ACR-US-622-2020-1264-151870 to 151981,2020,5/21/2021 16:52,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Foam Blowing Agent Project 003F,US,Winchester,VIRGINIA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
7/11/2023,"Climate Impact Partners, LLC",500,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Michael Page International Recruitment Ltd,ACR-US-114-2017-735-233138 to 233637,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/11/2023,"Climate Impact Partners, LLC",456,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of HarbourVest Partners L.P.,ACR-US-424-2020-1596-6229 to 6684,2020,7/6/2022 21:55,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Albany Water Board - Improved Forest Management Project,US,Albany,NEW YORK,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/11/2023,"Climate Impact Partners, LLC",187,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Harding Loevner,ACR-US-114-2017-735-232951 to 233137,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/11/2023,"Climate Impact Partners, LLC",1,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Harding Loevner,ACR-US-114-2019-1071-411975 to 411975,2019,7/31/2020 21:00,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/11/2023,"Climate Impact Partners, LLC",41,On Behalf of Third Party,Retired by Climate Impact Partners on behalf of Harding Loevner,ACR-US-424-2020-1305-1332 to 1372,2020,7/23/2021 4:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Albany Water Board - Improved Forest Management Project,US,Albany,NEW YORK,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/11/2023,"Tradewater, LLC",35,Environmental Benefit,Climate Heroes - 23.07.11,ACR-US-597-2021-1894-1865 to 1899,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/10/2023,"Tradewater, LLC",138,Environmental Benefit,Climate Heroes - 23.07.10,ACR-US-597-2021-1894-1727 to 1864,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/10/2023,Rubicon Carbon Services LLC,4,Other,Retired on Behalf of Nobody. Not used for Offset Claims,ACR-US-646-2019-1364-413713 to 413716,2019,9/30/2021 20:21,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,A-Gas V5,US,"Wood County, Bowling Green, Ohio",OHIO,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Version 1.1
7/7/2023,"Tradewater, LLC",38,Environmental Benefit,Climate Heroes - 23.07.07,ACR-US-597-2021-1894-1689 to 1726,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/7/2023,South Pole USA Inc.,400,Environmental Benefit,-,ACR-US-596-2020-1513-2821 to 3220,2020,5/4/2022 22:42,,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Boone Forestry Project,US,SE Kentucky,KENTUCKY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/6/2023,"Tradewater, LLC",127,Environmental Benefit,Climate Heroes - 23.07.06,ACR-US-597-2021-1894-1562 to 1688,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/6/2023,"3Degrees Group, Inc.",12905,On Behalf of Third Party,"Etsy, Inc., and its affiliates (Reverb.com  LLC, and Depop Limited)",ACR-US-212-2019-1174-129108 to 142012,2019,12/18/2020 23:27,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
7/5/2023,"Tradewater, LLC",105,Environmental Benefit,Climate Heroes - 23.07.05,ACR-US-597-2021-1894-1457 to 1561,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
